"Air temperature [K]","Process temperature [K]","Vibration Levels","Operational Hours","Failure Type"
298.1,308.6,42,20,"No Failure"
298.2,308.7,52,21,"No Failure"
298.1,308.5,44,18,"No Failure"
298.2,308.6,52,10,"No Failure"
298.2,308.7,44,10,"No Failure"
298.1,308.6,35,24,"No Failure"
298.1,308.6,36,20,"No Failure"
298.1,308.6,33,14,"No Failure"
298.3,308.7,23,22,"No Failure"
298.5,309,45,22,"No Failure"
298.4,308.9,55,19.73,"No Failure"
298.6,309.1,45,20.03,"No Failure"
298.6,309.1,34,20.33,"No Failure"
298.6,309.2,34,20.62,"No Failure"
298.6,309.2,23,20.92,"No Failure"
298.6,309.2,42,21.22,"No Failure"
298.6,309.2,54,21.52,"No Failure"
298.7,309.2,55,21.81,"No Failure"
298.8,309.2,54,22.11,"No Failure"
298.9,309.3,34,22.41,"No Failure"
298.9,309.3,33,22.7,"No Failure"
298.8,309.3,23,23,"No Failure"
298.9,309.3,24,23.3,"No Failure"
299,309.4,36,23.59,"No Failure"
299,309.4,34,23.89,"No Failure"
299,309.5,35,24.19,"No Failure"
299.1,309.5,36,24.48,"No Failure"
299.1,309.4,37,24.78,"No Failure"
299.1,309.4,38,25.08,"No Failure"
299,309.4,39,25.38,"No Failure"
299.1,309.5,40,25.67,"No Failure"
299,309.4,34.56129032,25.97,"No Failure"
299,309.4,34.27983871,26.27,"No Failure"
298.9,309.3,33.9983871,26.56,"No Failure"
298.8,309.1,33.71693548,26.86,"No Failure"
298.8,309.2,33.43548387,27.16,"No Failure"
298.9,309.2,33.15403226,27.45,"No Failure"
298.8,309.1,32.87258065,27.75,"No Failure"
298.9,309.2,32.59112903,28.05,"No Failure"
298.8,309.1,32.30967742,28.35,"No Failure"
298.8,309.1,32.02822581,28.64,"No Failure"
298.8,309.1,31.74677419,28.94,"No Failure"
298.8,309.1,31.46532258,29.24,"No Failure"
298.8,309.2,31.18387097,29.53,"No Failure"
298.8,309.1,30.90241935,29.83,"No Failure"
298.8,309.1,30.62096774,30.13,"No Failure"
298.7,309,30.33951613,30.42,"No Failure"
298.8,309.1,30.05806452,30.72,"No Failure"
298.8,309.2,29.7766129,31.02,"No Failure"
298.9,309.2,29.49516129,31.32,"No Failure"
298.9,309.1,28.93225806,24,"No Failure"
298.8,309,28.65080645,20,"No Failure"
298.7,309,28.36935484,22,"No Failure"
298.7,309,28.08790323,14,"No Failure"
298.8,309.1,27.80645161,15,"No Failure"
298.8,309.1,27.525,58,"No Failure"
298.8,309.1,27.24354839,22,"No Failure"
298.8,309,26.96209677,36,"No Failure"
298.8,309.1,26.68064516,14,"No Failure"
298.8,309.1,26.39919355,21,"No Failure"
298.8,309,26.11774194,26.87,"No Failure"
298.8,309,25.83629032,27.28,"No Failure"
298.9,309,25.55483871,27.69,"No Failure"
299,309.1,25.2733871,28.1,"No Failure"
299,309.1,24.99193548,28.52,"No Failure"
298.9,308.9,24.71048387,28.93,"No Failure"
298.8,308.9,24.42903226,29.34,"No Failure"
298.8,308.9,24.14758065,29.75,"No Failure"
298.9,309,52,30.58,"No Failure"
298.9,309.1,44,30.99,"No Failure"
298.9,309.1,52,31.4,"No Failure"
298.8,308.8,45,24,"No Failure"
298.9,308.9,34,22,"No Failure"
298.9,308.9,34,15,"No Failure"
299,309,23,15,"No Failure"
298.9,308.9,42,11,"No Failure"
299,309,54,10,"No Failure"
299,309,55,14,"No Failure"
299,309,54,25,"No Failure"
299,309,34,22,"No Failure"
298.9,308.9,33,27,"No Failure"
298.9,308.9,23,19,"No Failure"
298.9,308.9,24,20.67,"No Failure"
298.9,308.9,36,21.03,"No Failure"
299.1,309,34,21.38,"No Failure"
299,308.9,35,21.74,"No Failure"
299,309,36,22.09,"No Failure"
299,309,37,22.45,"No Failure"
298.9,308.9,38,22.8,"No Failure"
298.9,308.8,39,23.15,"No Failure"
298.8,308.8,40,23.51,"No Failure"
298.8,308.9,42,23.86,"No Failure"
298.8,308.8,52,24.22,"No Failure"
298.8,308.8,44,24.57,"No Failure"
298.8,308.8,52,24.93,"No Failure"
298.8,308.7,44,25.28,"No Failure"
298.8,308.7,35,25.64,"No Failure"
298.8,308.7,36,25.99,"No Failure"
298.8,308.8,33,26.35,"No Failure"
298.9,308.8,23,26.7,"No Failure"
298.9,308.7,45,27.05,"No Failure"
298.8,308.6,55,27.41,"No Failure"
298.7,308.6,45,27.76,"No Failure"
298.8,308.7,34,28.12,"No Failure"
298.8,308.6,34,28.47,"No Failure"
298.8,308.6,23,28.83,"No Failure"
298.8,308.6,42,29.18,"No Failure"
298.9,308.7,54,29.54,"No Failure"
298.8,308.6,55,29.89,"No Failure"
298.8,308.6,54,30.25,"No Failure"
298.7,308.5,34,30.6,"No Failure"
298.9,308.7,33,30.95,"No Failure"
298.9,308.7,23,31.31,"No Failure"
299,308.8,24,31.66,"No Failure"
298.9,308.7,36,32.02,"No Failure"
298.9,308.7,34,32.37,"No Failure"
298.9,308.6,35,32.73,"No Failure"
299,308.6,36,33.08,"No Failure"
298.9,308.6,37,33.44,"No Failure"
299,308.6,38,33.79,"No Failure"
298.9,308.5,39,34.15,"No Failure"
298.8,308.4,40,34.5,"No Failure"
298.8,308.4,42,34.85,"No Failure"
298.7,308.4,52,35.21,"No Failure"
298.7,308.4,44,35.56,"No Failure"
298.8,308.4,52,35.92,"No Failure"
298.8,308.5,44,36.27,"No Failure"
298.7,308.5,35,36.63,"No Failure"
298.7,308.6,36,36.98,"No Failure"
298.8,308.6,33,37.34,"No Failure"
298.8,308.6,23,37.69,"No Failure"
298.8,308.6,45,38.05,"No Failure"
298.7,308.5,55,38.4,"No Failure"
298.6,308.4,45,38.75,"No Failure"
298.6,308.4,34,39.11,"No Failure"
298.6,308.4,34,39.46,"No Failure"
298.5,308.4,23,39.82,"No Failure"
298.5,308.4,42,40.17,"No Failure"
298.4,308.4,54,40.53,"No Failure"
298.3,308.3,55,40.88,"No Failure"
298.4,308.3,54,41.24,"No Failure"
298.4,308.3,34,41.59,"No Failure"
298.4,308.2,33,41.95,"No Failure"
298.4,308.2,23,42.3,"No Failure"
298.4,308.2,24,42.65,"No Failure"
298.4,308.2,36,43.01,"No Failure"
298.4,308.2,34,43.36,"No Failure"
298.4,308.1,35,43.72,"No Failure"
298.4,308.2,36,44.07,"No Failure"
298.4,308.2,37,44.43,"No Failure"
298.4,308.2,38,44.78,"No Failure"
298.3,308.1,42,45.85,"No Failure"
298.4,308.2,52,46.2,"No Failure"
298.5,308.3,44,46.55,"No Failure"
298.5,308.4,52,46.91,"No Failure"
298.4,308.2,44,47.26,"No Failure"
298.4,308.3,35,47.62,"No Failure"
298.4,308.3,33,48.33,"No Failure"
298.4,308.2,23,48.68,"No Failure"
298.2,308.1,34,50.1,"No Failure"
298.2,308.1,34,50.45,"No Failure"
298.2,308.1,23,50.81,"No Failure"
298.2,308.2,42,51.16,"No Failure"
298.2,308.2,54,51.52,"No Failure"
298.2,308.3,55,51.87,"No Failure"
298.2,308.3,54,52.23,"No Failure"
298.2,308.3,34,52.58,"No Failure"
298.1,308.2,33,52.94,"No Failure"
298.1,308.2,23,53.29,"No Failure"
298.2,308.2,24,53.65,"No Failure"
298.2,308.2,36,54,"No Failure"
298.1,308.3,34,54.35,"No Failure"
298.2,308.4,35,54.71,"No Failure"
298.3,308.5,36,55.06,"No Failure"
298.3,308.4,37,55.42,"No Failure"
298.2,308.4,38,55.77,"No Failure"
298.2,308.4,39,56.13,"No Failure"
298.2,308.4,40,56.48,"No Failure"
298.2,308.4,42,56.84,"No Failure"
298.2,308.5,52,57.19,"No Failure"
298.3,308.5,44,57.55,"No Failure"
298.3,308.6,52,57.9,"No Failure"
298.4,308.6,44,58.25,"No Failure"
298.4,308.7,35,58.61,"No Failure"
298.4,308.6,36,58.96,"No Failure"
298.4,308.6,33,59.32,"No Failure"
298.3,308.5,23,59.67,"No Failure"
298.4,308.5,45,60.03,"No Failure"
298.4,308.5,55,60.38,"No Failure"
298.4,308.5,45,60.74,"No Failure"
298.5,308.6,34,61.09,"No Failure"
298.5,308.7,34,61.45,"No Failure"
298.4,308.7,23,61.8,"No Failure"
298.4,308.6,42,62.15,"No Failure"
298.4,308.6,54,62.51,"No Failure"
298.4,308.7,55,62.86,"No Failure"
298.5,308.7,54,63.22,"No Failure"
298.4,308.7,34,63.57,"No Failure"
298.4,308.7,33,63.93,"No Failure"
298.3,308.6,23,64.28,"No Failure"
298.3,308.6,24,64.64,"No Failure"
298.3,308.6,36,64.99,"No Failure"
298.3,308.5,34,65.35,"No Failure"
298.3,308.6,35,65.7,"No Failure"
298.3,308.5,36,66.05,"No Failure"
298.3,308.5,37,66.41,"No Failure"
